,0
0,7.316974833417723e-91
1,7.316974832301124e-91
2,7.316974831182558e-91
3,7.316974830062025e-91
4,7.31697482893952e-91
5,7.316974827815037e-91
6,7.316974826688579e-91
7,7.316974825560137e-91
8,7.316974824429709e-91
9,7.316974823297293e-91
10,7.316974822162882e-91
11,7.316974821026475e-91
12,7.316974819888069e-91
13,7.316974818747661e-91
14,7.316974817605244e-91
15,7.316974816460816e-91
16,7.316974815314376e-91
17,7.316974814165918e-91
18,7.316974813015438e-91
19,7.316974811862937e-91
20,7.316974810708405e-91
21,7.31697480955184e-91
22,7.31697480839324e-91
23,7.316974807232603e-91
24,7.316974806069921e-91
25,7.316974804905197e-91
26,7.316974803738422e-91
27,7.31697480256959e-91
28,7.316974801398704e-91
29,7.316974800225758e-91
30,7.316974799050746e-91
31,7.316974797873668e-91
32,7.316974796694518e-91
33,7.316974795513295e-91
34,7.316974794329989e-91
35,7.316974793144601e-91
36,7.316974791957131e-91
37,7.31697479076757e-91
38,7.316974789575912e-91
39,7.31697478838216e-91
40,7.316974787186307e-91
41,7.316974785988349e-91
42,7.316974784788286e-91
43,7.316974783586105e-91
44,7.316974782381814e-91
45,7.3169747811754e-91
46,7.316974779966865e-91
47,7.316974778756202e-91
48,7.316974777543409e-91
49,7.316974776328482e-91
50,7.316974775111418e-91
51,7.316974773892211e-91
52,7.316974772670859e-91
53,7.316974771447359e-91
54,7.316974770221703e-91
55,7.316974768993891e-91
56,7.316974767763918e-91
57,7.316974766531783e-91
58,7.316974765297478e-91
59,7.316974764060998e-91
60,7.316974762822346e-91
61,7.316974761581511e-91
62,7.316974760338498e-91
63,7.316974759093292e-91
64,7.316974757845898e-91
65,7.316974756596307e-91
66,7.316974755344515e-91
67,7.316974754090525e-91
68,7.316974752834325e-91
69,7.316974751575916e-91
70,7.316974750315293e-91
71,7.316974749052449e-91
72,7.316974747787384e-91
73,7.316974746520092e-91
74,7.316974745250571e-91
75,7.316974743978815e-91
76,7.316974742704821e-91
77,7.316974741428586e-91
78,7.316974740150103e-91
79,7.316974738869373e-91
80,7.316974737586389e-91
81,7.316974736301144e-91
82,7.316974735013641e-91
83,7.31697473372387e-91
84,7.31697473243183e-91
85,7.316974731137516e-91
86,7.316974729840924e-91
87,7.316974728542051e-91
88,7.316974727240891e-91
89,7.316974725937442e-91
90,7.316974724631701e-91
91,7.316974723323662e-91
92,7.316974722013318e-91
93,7.316974720700668e-91
94,7.316974719385711e-91
95,7.316974718068439e-91
96,7.316974716748847e-91
97,7.316974715426935e-91
98,7.316974714102697e-91
99,7.316974712776128e-91
100,7.316974711447224e-91
101,7.316974710115981e-91
102,7.316974708782397e-91
103,7.316974707446466e-91
104,7.316974706108182e-91
105,7.316974704767544e-91
106,7.316974703424546e-91
107,7.316974702079186e-91
108,7.316974700731461e-91
109,7.316974699381361e-91
110,7.316974698028882e-91
111,7.316974696674026e-91
112,7.316974695316785e-91
113,7.316974693957158e-91
114,7.316974692595139e-91
115,7.316974691230718e-91
116,7.316974689863901e-91
117,7.316974688494676e-91
118,7.31697468712304e-91
119,7.316974685748996e-91
120,7.316974684372528e-91
121,7.316974682993641e-91
122,7.316974681612324e-91
123,7.316974680228581e-91
124,7.316974678842399e-91
125,7.316974677453779e-91
126,7.316974676062717e-91
127,7.316974674669205e-91
128,7.316974673273241e-91
129,7.31697467187482e-91
130,7.316974670473938e-91
131,7.316974669070591e-91
132,7.316974667664776e-91
133,7.316974666256487e-91
134,7.316974664845718e-91
135,7.316974663432467e-91
136,7.316974662016729e-91
137,7.3169746605985e-91
138,7.316974659177774e-91
139,7.316974657754548e-91
140,7.316974656328817e-91
141,7.316974654900578e-91
142,7.316974653469825e-91
143,7.316974652036557e-91
144,7.316974650600764e-91
145,7.316974649162445e-91
146,7.316974647721594e-91
147,7.316974646278208e-91
148,7.316974644832284e-91
149,7.316974643383812e-91
150,7.316974641932793e-91
151,7.31697464047922e-91
152,7.316974639023089e-91
153,7.316974637564396e-91
154,7.316974636103136e-91
155,7.316974634639303e-91
156,7.316974633172896e-91
157,7.316974631703906e-91
158,7.316974630232331e-91
159,7.316974628758168e-91
160,7.316974627281411e-91
161,7.316974625802056e-91
162,7.316974624320097e-91
163,7.316974622835527e-91
164,7.316974621348347e-91
165,7.316974619858549e-91
166,7.316974618366132e-91
167,7.316974616871087e-91
168,7.31697461537341e-91
169,7.3169746138731e-91
170,7.316974612370146e-91
171,7.316974610864549e-91
172,7.316974609356304e-91
173,7.316974607845402e-91
174,7.316974606331844e-91
175,7.31697460481562e-91
176,7.316974603296728e-91
177,7.316974601775164e-91
